"Cluster","Name","Class","SubClass","Element","code_raw","coel_code","iri"
21,"Cancel appointment",8,4,2,"21.8.4.2","21.8.4.2","http://w3id.org/coel/model/coel/2.0#21.8.4.2"
21,"Reschedule appointment",8,4,3,"21.8.4.3","21.8.4.3","http://w3id.org/coel/model/coel/2.0#21.8.4.3"
21,"Receive goods",8,4,4,"21.8.4.4","21.8.4.4","http://w3id.org/coel/model/coel/2.0#21.8.4.4"
21,"Pay",8,4,5,"21.8.4.5","21.8.4.5","http://w3id.org/coel/model/coel/2.0#21.8.4.5"
21,"Leave feedback",8,4,6,"21.8.4.6","21.8.4.6","http://w3id.org/coel/model/coel/2.0#21.8.4.6"
21,"Identity authentication",9,0,0,"21.9.0.0","21.9","http://w3id.org/coel/model/coel/2.0#21.9"
21,"Register",9,1,0,"21.9.1.0","21.9.1","http://w3id.org/coel/model/coel/2.0#21.9.1"
21,"Electronic",9,1,1,"21.9.1.1","21.9.1.1","http://w3id.org/coel/model/coel/2.0#21.9.1.1"
21,"In-person",9,1,2,"21.9.1.2","21.9.1.2","http://w3id.org/coel/model/coel/2.0#21.9.1.2"
21,"Non-electronic remote",9,1,3,"21.9.1.3","21.9.1.3","http://w3id.org/coel/model/coel/2.0#21.9.1.3"
21,"Prove",9,2,0,"21.9.2.0","21.9.2","http://w3id.org/coel/model/coel/2.0#21.9.2"
21,"Biometrics",9,2,1,"21.9.2.1","21.9.2.1","http://w3id.org/coel/model/coel/2.0#21.9.2.1"
21,"Passport",9,2,2,"21.9.2.2","21.9.2.2","http://w3id.org/coel/model/coel/2.0#21.9.2.2"
21,"National identity card",9,2,3,"21.9.2.3","21.9.2.3","http://w3id.org/coel/model/coel/2.0#21.9.2.3"
21,"Residence permit",9,2,4,"21.9.2.4","21.9.2.4","http://w3id.org/coel/model/coel/2.0#21.9.2.4"
21,"Driving licence",9,2,5,"21.9.2.5","21.9.2.5","http://w3id.org/coel/model/coel/2.0#21.9.2.5"
21,"Birth certificate",9,2,6,"21.9.2.6","21.9.2.6","http://w3id.org/coel/model/coel/2.0#21.9.2.6"
21,"Adoption certificate",9,2,7,"21.9.2.7","21.9.2.7","http://w3id.org/coel/model/coel/2.0#21.9.2.7"
21,"Marriage or civil partnership certificate",9,2,8,"21.9.2.8","21.9.2.8","http://w3id.org/coel/model/coel/2.0#21.9.2.8"
21,"Medical records",9,2,9,"21.9.2.9","21.9.2.9","http://w3id.org/coel/model/coel/2.0#21.9.2.9"
21,"Military identity card",9,2,10,"21.9.2.10","21.9.2.10","http://w3id.org/coel/model/coel/2.0#21.9.2.10"
21,"Firearms licence",9,2,11,"21.9.2.11","21.9.2.11","http://w3id.org/coel/model/coel/2.0#21.9.2.11"
21,"Mortgage statement",9,2,12,"21.9.2.12","21.9.2.12","http://w3id.org/coel/model/coel/2.0#21.9.2.12"
21,"Bank statement",9,2,13,"21.9.2.13","21.9.2.13","http://w3id.org/coel/model/coel/2.0#21.9.2.13"
21,"Credit card statement",9,2,14,"21.9.2.14","21.9.2.14","http://w3id.org/coel/model/coel/2.0#21.9.2.14"
21,"Non banking financial statement",9,2,15,"21.9.2.15","21.9.2.15","http://w3id.org/coel/model/coel/2.0#21.9.2.15"
21,"Employment documentation",9,2,16,"21.9.2.16","21.9.2.16","http://w3id.org/coel/model/coel/2.0#21.9.2.16"
21,"Tax statement",9,2,17,"21.9.2.17","21.9.2.17","http://w3id.org/coel/model/coel/2.0#21.9.2.17"
21,"Work permit",9,2,18,"21.9.2.18","21.9.2.18","http://w3id.org/coel/model/coel/2.0#21.9.2.18"
21,"Visa",9,2,19,"21.9.2.19","21.9.2.19","http://w3id.org/coel/model/coel/2.0#21.9.2.19"
21,"Education letter of sponsorship",9,2,20,"21.9.2.20","21.9.2.20","http://w3id.org/coel/model/coel/2.0#21.9.2.20"
21,"Employment letter of sponsorship",9,2,21,"21.9.2.21","21.9.2.21","http://w3id.org/coel/model/coel/2.0#21.9.2.21"
21,"Community letter of sponsorship",9,2,22,"21.9.2.22","21.9.2.22","http://w3id.org/coel/model/coel/2.0#21.9.2.22"
21,"Utility bill",9,2,23,"21.9.2.23","21.9.2.23","http://w3id.org/coel/model/coel/2.0#21.9.2.23"
21,"Government entitlement statement",9,2,24,"21.9.2.24","21.9.2.24","http://w3id.org/coel/model/coel/2.0#21.9.2.24"
21,"Behavioural",9,2,25,"21.9.2.25","21.9.2.25","http://w3id.org/coel/model/coel/2.0#21.9.2.25"
21,"Issue credentials",9,3,0,"21.9.3.0","21.9.3","http://w3id.org/coel/model/coel/2.0#21.9.3"
21,"Level of assurance 1",9,3,1,"21.9.3.1","21.9.3.1","http://w3id.org/coel/model/coel/2.0#21.9.3.1"
21,"Level of assurance 2",9,3,2,"21.9.3.2","21.9.3.2","http://w3id.org/coel/model/coel/2.0#21.9.3.2"
21,"Level of assurance 3",9,3,3,"21.9.3.3","21.9.3.3","http://w3id.org/coel/model/coel/2.0#21.9.3.3"
21,"Level of assurance 4",9,3,4,"21.9.3.4","21.9.3.4","http://w3id.org/coel/model/coel/2.0#21.9.3.4"
21,"Authenticate credentials",9,4,0,"21.9.4.0","21.9.4","http://w3id.org/coel/model/coel/2.0#21.9.4"
21,"Level of assurance 1",9,4,1,"21.9.4.1","21.9.4.1","http://w3id.org/coel/model/coel/2.0#21.9.4.1"
21,"Level of assurance 2",9,4,2,"21.9.4.2","21.9.4.2","http://w3id.org/coel/model/coel/2.0#21.9.4.2"
21,"Level of assurance 3",9,4,3,"21.9.4.3","21.9.4.3","http://w3id.org/coel/model/coel/2.0#21.9.4.3"
21,"Level of assurance 4",9,4,4,"21.9.4.4","21.9.4.4","http://w3id.org/coel/model/coel/2.0#21.9.4.4"
21,"Give third party assertion",9,5,0,"21.9.5.0","21.9.5","http://w3id.org/coel/model/coel/2.0#21.9.5"
21,"Level of assurance 1",9,5,1,"21.9.5.1","21.9.5.1","http://w3id.org/coel/model/coel/2.0#21.9.5.1"
21,"Level of assurance 2",9,5,2,"21.9.5.2","21.9.5.2","http://w3id.org/coel/model/coel/2.0#21.9.5.2"
21,"Level of assurance 3",9,5,3,"21.9.5.3","21.9.5.3","http://w3id.org/coel/model/coel/2.0#21.9.5.3"
21,"Level of assurance 4",9,5,4,"21.9.5.4","21.9.5.4","http://w3id.org/coel/model/coel/2.0#21.9.5.4"
21,"Receive third party assertion",9,6,0,"21.9.6.0","21.9.6","http://w3id.org/coel/model/coel/2.0#21.9.6"
21,"Level of assurance 1",9,6,1,"21.9.6.1","21.9.6.1","http://w3id.org/coel/model/coel/2.0#21.9.6.1"
21,"Level of assurance 2",9,6,2,"21.9.6.2","21.9.6.2","http://w3id.org/coel/model/coel/2.0#21.9.6.2"
21,"Level of assurance 3",9,6,3,"21.9.6.3","21.9.6.3","http://w3id.org/coel/model/coel/2.0#21.9.6.3"
21,"Level of assurance 4",9,6,4,"21.9.6.4","21.9.6.4","http://w3id.org/coel/model/coel/2.0#21.9.6.4"
22,"Travel",0,0,0,"22.0.0.0","22","http://w3id.org/coel/model/coel/2.0#22"
22,"Non powered",1,0,0,"22.1.0.0","22.1","http://w3id.org/coel/model/coel/2.0#22.1"
22,"Travel by bike",1,1,0,"22.1.1.0","22.1.1","http://w3id.org/coel/model/coel/2.0#22.1.1"
22,"Mountain bike",1,1,1,"22.1.1.1","22.1.1.1","http://w3id.org/coel/model/coel/2.0#22.1.1.1"
22,"Racing bike",1,1,2,"22.1.1.2","22.1.1.2","http://w3id.org/coel/model/coel/2.0#22.1.1.2"
22,"Shopping bike",1,1,3,"22.1.1.3","22.1.1.3","http://w3id.org/coel/model/coel/2.0#22.1.1.3"
22,"Bmx",1,1,4,"22.1.1.4","22.1.1.4","http://w3id.org/coel/model/coel/2.0#22.1.1.4"
22,"Travel by animal",1,2,0,"22.1.2.0","22.1.2","http://w3id.org/coel/model/coel/2.0#22.1.2"
22,"Horse",1,2,1,"22.1.2.1","22.1.2.1","http://w3id.org/coel/model/coel/2.0#22.1.2.1"
22,"Donkey",1,2,2,"22.1.2.2","22.1.2.2","http://w3id.org/coel/model/coel/2.0#22.1.2.2"
22,"Camel",1,2,3,"22.1.2.3","22.1.2.3","http://w3id.org/coel/model/coel/2.0#22.1.2.3"
22,"Pony",1,2,4,"22.1.2.4","22.1.2.4","http://w3id.org/coel/model/coel/2.0#22.1.2.4"
22,"Huskie dogs",1,2,5,"22.1.2.5","22.1.2.5","http://w3id.org/coel/model/coel/2.0#22.1.2.5"
22,"Travel by push scooter",1,3,0,"22.1.3.0","22.1.3","http://w3id.org/coel/model/coel/2.0#22.1.3"
22,"Razor",1,3,1,"22.1.3.1","22.1.3.1","http://w3id.org/coel/model/coel/2.0#22.1.3.1"
22,"Kick scooters",1,3,2,"22.1.3.2","22.1.3.2","http://w3id.org/coel/model/coel/2.0#22.1.3.2"
22,"Trick scooters",1,3,3,"22.1.3.3","22.1.3.3","http://w3id.org/coel/model/coel/2.0#22.1.3.3"
22,"Rock board scooter",1,3,4,"22.1.3.4","22.1.3.4","http://w3id.org/coel/model/coel/2.0#22.1.3.4"
22,"Skateboard",1,3,5,"22.1.3.5","22.1.3.5","http://w3id.org/coel/model/coel/2.0#22.1.3.5"
22,"Travel by tricycle",1,4,0,"22.1.4.0","22.1.4","http://w3id.org/coel/model/coel/2.0#22.1.4"
22,"Pedicabs",1,4,1,"22.1.4.1","22.1.4.1","http://w3id.org/coel/model/coel/2.0#22.1.4.1"
22,"Rickshaws",1,4,2,"22.1.4.2","22.1.4.2","http://w3id.org/coel/model/coel/2.0#22.1.4.2"
22,"Land",2,0,0,"22.2.0.0","22.2","http://w3id.org/coel/model/coel/2.0#22.2"
22,"Travel by car",2,1,0,"22.2.1.0","22.2.1","http://w3id.org/coel/model/coel/2.0#22.2.1"
22,"Sports",2,1,1,"22.2.1.1","22.2.1.1","http://w3id.org/coel/model/coel/2.0#22.2.1.1"
22,"Luxury",2,1,2,"22.2.1.2","22.2.1.2","http://w3id.org/coel/model/coel/2.0#22.2.1.2"
