"AtomID","TEST","detail"
"110864_1749729228_1_4032059#1749966288#73162#Wake","TEST1 | TEST2","TEST1: What ; TEST2: What.Label"
"110864_1749729228_1_4032059#1750300417#10855#Rest","TEST3","TEST3: What.Label"
"110864_1749729228_1_4032059#1750571271#49642#Wake","TEST2 | TEST3","TEST2: What.Label ; TEST3: What"
"111705_1749224532_1_4032059#1749363876#53729#Wake","TEST3","TEST3: Header.AtomVersion"
"111705_1749224532_1_4032059#1749503183#30477#Rest","TEST3","TEST3: Header.AtomVersion"
"111705_1749224532_1_4032059#1749764308#33260#Rest","TEST1 | TEST2","TEST1: What ; TEST2: What.Label"
"111705_1749224532_1_4032059#1750086869#9308#Rest","TEST2","TEST2: When.Duration"
"111706_1749476168_1_4032059#1750047494#58677#Wake","TEST1 | TEST2","TEST1: What ; TEST2: What.Label"
"111706_1749476168_1_4032059#1750106171#28456#Rest","TEST1 | TEST2","TEST1: What ; TEST2: What.Label"
"111706_1749476168_1_4032059#1750307463#62328#Wake","TEST2","TEST2: Header.AtomVersion"
"111706_1749476168_1_4032059#1750568936#55525#Wake","TEST1 | TEST2","TEST1: When ; TEST2: When.TimeUTC | When.Duration | When.UTCOffset"
"111707_1749218555_1_4032059#1749215455#28541#Wake","TEST1 | TEST2","TEST1: Who ; TEST2: Who.ParticipantID"
"111707_1749218555_1_4032059#1749886341#48854#Wake","TEST3","TEST3: When.UTCOffset"
"111707_1749218555_1_4032059#1749935195#32886#Rest","TEST2 | TEST3","TEST2: Who.ParticipantID ; TEST3: Who"
"111707_1749218555_1_4032059#1750113243#27040#Rest","TEST3","TEST3: When.Duration"
"111708_1749217464_1_4032059#1749528909#64117#Wake","TEST2","TEST2: When.TimeUTC"
"111708_1749217464_1_4032059#1749677227#24487#Rest","TEST1 | TEST2","TEST1: Who ; TEST2: Who.ParticipantID"
"111710_1749218067_1_4032059#1749855848#31582#Rest","TEST1 | TEST2","TEST1: Who ; TEST2: Who.ParticipantID"
"111710_1749218067_1_4032059#1749972510#55676#Wake","TEST2 | TEST3","TEST2: Who.ParticipantID ; TEST3: Who"
"111710_1749218067_1_4032059#1750052419#65608#Wake","TEST2 | TEST3","TEST2: What.Label ; TEST3: What"
"111853_1749724462_1_4032059#1749927650#14704#Wake","TEST3","TEST3: What.Label"
"111853_1749724462_1_4032059#1750124428#21065#Rest","TEST1 | TEST2","TEST1: When ; TEST2: When.TimeUTC | When.Duration | When.UTCOffset"
"111854_1750412601_1_4032059#1750734985#88311#Wake","TEST3","TEST3: When.UTCOffset"
"111854_1750412601_1_4032059#1750906067#12045#Rest","TEST3","TEST3: When.TimeUTC"
"111854_1750412601_1_4032059#1750998995#11317#Rest","TEST3","TEST3: What.Label"
"111854_1750412601_1_4032059#1751166640#7069#Rest","TEST2","TEST2: When.TimeUTC"
