"src","sumdur","duration_s","label","duration_h"
"https://w3id.org/coel/models/activinsights/rest_activity/1.0#wake",91687,91687,"Wake",25.4686111111111
"https://w3id.org/coel/models/activinsights/rest_activity/1.0#non_wear",73573,73573,"non_wear",20.4369444444444
"https://w3id.org/coel/models/activinsights/rest_activity/1.0#rest",41513,41513,"Rest",11.5313888888889
