label,parent_label,description,is_output,iri
RestActivity,NA,Root of the classification tree used in ActivInsights 24hr rest activity patterning.,FALSE,https://w3id.org/coel/models/activinsights/rest_activity/1.0#RestActivity
NonWear,RestActivity,Measurement device not worn.,TRUE,https://w3id.org/coel/models/activinsights/rest_activity/1.0#NonWear
Wake,RestActivity,Period of active physical behaviours.,TRUE,https://w3id.org/coel/models/activinsights/rest_activity/1.0#Wake
Rest,RestActivity,"Period of rest - a rest interval, part of a rest interval or other inactive physical behaviours.",TRUE,https://w3id.org/coel/models/activinsights/rest_activity/1.0#Rest
