label,coel_code,coel_label,mapping_type,comment
BehaviouralBout,,,,"Root class, not mapped to COEL."
NonWear,,,,
Sedentary,14.9.3.1,Sedentary,skos:closeMatch,GENEAbout Sedentary close match to COEL 14.9.3.1.
Active,14.9.3.2,Active,skos:closeMatch,GENEAbout Active close match to COEL 14.9.3.2.
Ambulatory,14.9.3.2,Active,skos:broadMatch,COEL 14.9.3.2 is broader than GENEAbout Ambulatory
SlowWalk,14.5,Walking,skos:broadMatch,COEL 14.5 is a broader walking category than GENEAbout SlowWalk
FastWalk,14.5,Walking,skos:broadMatch,COEL 14.5 is a broader walking category than GENEAbout FastWalk
Run,14.4,Running,skos:closeMatch,GENEAbout Run close match to COEL 14.4.
Sleep,13.1,Asleep,skos:closeMatch,COEL 13.1 is behaviourally related to GENEAbout Sleep
