label,coel_code,coel_label,mapping_type,comment
RestActivity,,,,"Root class, not mapped to COEL."
Rest,13.1,Asleep,skos:broadMatch,COEL 13.1 is broader than GENEAbout Rest
Wake,14.9.3.2,Active,skos:broadMatch,COEL 14.9.3.2 is broader than GENEAbout Wake
NonWear,,,,
