"Atom Stream","Event labels (n)","Mapped labels (n)","Unmapped labels (n)","Mapping Coverage (%)","COEL codes (n)","Unmapped labels (examples)"
"Rest-activity stream",3,2,1,66.7,2,"non_wear"
"Behavioural Bout stream",7,6,1,85.7,5,"NonWear"
