"Atom Stream","Atoms (n)","Participants (n)","Event labels (n)","COEL codes (n)","Mapping Coverage (%)","Median dur (s)","Total dur (h)","JSON (MB)","Gzip (MB)"
"Rest-activity stream",230,8,3,2,66.7,33433,2688,0.26,0.01
"Behavioural Bout stream",116305,8,7,5,85.7,35,2688,201.19,12.52
