label,parent_label,description,is_output,iri
BehaviouralBout,NA,Root of the classification tree used in ActivInsights 24hr behavioural bout analysis.,FALSE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#BehaviouralBout
NonWear,BehaviouralBout,Measurement device not worn.,TRUE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#NonWear
Sedentary,BehaviouralBout,Sitting or reclining posture (and MET below 1.5).,TRUE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#Sedentary
Active,BehaviouralBout,"Active physical behaviour (light, moderate and vigorous MET).",TRUE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#Active
Ambulatory,Active,Ambulatory physical behaviour.,FALSE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#Ambulatory
SlowWalk,Ambulatory,Walking slower than median cadence (nominally 70 steps per minute).,TRUE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#SlowWalk
FastWalk,Ambulatory,Walking faster than median cadence (nominally 70 steps per minute).,TRUE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#FastWalk
Run,Ambulatory,Running.,TRUE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#Run
Sleep,Sedentary,Sleep.,TRUE,https://w3id.org/coel/models/activinsights/behavioural_bout/1.0#Sleep
