"index","AtomID","start_utc","end_utc","duration_sec","label","exceeds_left","exceeds_right"
176,"111853_1749724462_1_4032059#1749720877#46692#wake",1749720877,1749767569,46692,"wake",FALSE,FALSE
177,"111853_1749724462_1_4032059#1749767569#34041#rest",1749767569,1749801610,34041,"rest",FALSE,FALSE
178,"111853_1749724462_1_4032059#1749801610#31240#wake",1749801610,1749832850,31240,"wake",FALSE,FALSE
179,"111853_1749724462_1_4032059#1749832850#7472#rest",1749832850,1749840322,7472,"rest",FALSE,FALSE
180,"111853_1749724462_1_4032059#1749840322#13755#wake",1749840322,1749854077,13755,"wake",FALSE,FALSE
181,"111853_1749724462_1_4032059#1749854077#73573#non_wear",1749854077,1749927650,73573,"non_wear",FALSE,TRUE
