"stream","file","bytes_gzip","bytes_json","md5"
"rest_activity","utilities/data/atoms_payload/rest_activity/coel_atoms_payload.json.gz",8554,276236,"c25b3fb903b8bab3a2ac615eb3e379a6"
"behavioural_bout","utilities/data/atoms_payload/behavioural_bout/coel_atoms_payload.json.gz",13129140,210964148,"bf53931bafb35fe7b682ba3c858fb0f2"
